"Access denied.","アクセスが拒否されました。"
"Can not find webservice adapter.","ウェブサービスアダプタが見つかりません。"
"Client Session Timeout (sec.)","クライアントセッションタイムアウト (秒)"
"Default Response Charset","標準レスポンス文字コード"
"Email","Eメール"
"Enable WSDL Cache","WSDLキャッシュを有効にする"
"General Settings","全般設定"
"Invalid webservice adapter specified.","不正なWebサービスアダプタが指定されました。"
"Invalid webservice handler specified.","不正なWebサービスハンドラが指定されました。"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API セクション"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - 権限"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - ユーザー"
"Unable to login.","ログインできません"
"User Name","ユーザー名"
"WS-I Compliance","WS-I コンプライアンス"
"Web Services","ウェブサービス"
"Your account has been deactivated.","あなたのアカウントは有効になっていません。"
