"-- Please Select --","-- 選択してください --"
"Add to Cart","カートに追加"
"Choose an Option...","オプションを選択してください..."
"Configurable Swatches","スワッチイメージ"
"Enabled","有効"
"General Settings","全般設定"
"Height","高さ"
"In Stock","在庫あり"
"Innermost dimensions, not including border, in pixels","境界線を含まない中心からのサイズをピクセルで"
"Out of Stock","在庫切れ"
"Previous","前"
"Product Attribute to Use for Swatches in Product Listing","商品属性を商品一覧のスワッチイメージに使用する"
"Product Attributes to Show as Swatches in Product Detail","商品属性を商品画面のスワッチイメージに使用する"
"Remove This Item","このアイテムを削除"
"Swatch Dimensions in Layered Navigation","レイヤーナビのスワッチサイズ"
"Swatch Dimensions in Product Listing","商品一覧のスワッチサイズ"
"Swatch Dimensions on Product Detail Page","商品ページのスワッチサイズ"
"Width","横幅"
