"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">リンク</a>"
"Actions XML is not valid.","アクションXMLが不正です。"
"An error occurred while opening file: ""%s"".","ファイルのオープン中にエラーが発生しました: ""%s""."
"Could not load file: ""%s"".","ファイルを読み込めません: ""%s""."
"Could not save file: %s.","ファイルを保存できません: %s."
"Declared adapter %s was not found.","定義されているアダプタ %s が見つかりません。"
"Destination folder ""%s"" is not a directory.","フォルダ ""%s"" はディレクトリではありません。"
"Destination folder ""%s"" is not writable.","フォルダ ""%s"" は読取専用になっています。"
"Done","完了"
"Dry run set, stopping execution.","テスト実行をセットしました。実行を停止しています。"
"ETA: %s","進行状況: %s"
"Error in field mapping: field list for mapping is not defined.","フィールドマッピングエラー: マッピングするフィールドが定義されていません。"
"File ""%s"" does not exist.","ファイル ""%s"" がありません。"
"Found %d rows.","%d 行見つかりました。"
"Less than a minute","1分以内"
"Loaded successfully: ""%s"".","読込成功: ""%s""."
"Memory Used: %s","メモリ使用量: %s"
"Method ""%s"" not defined in adapter %s.","メソッド ""%s"" はアダプタ %s で定義されていません。"
"Method ""%s"" was not defined in adapter %s.","メソッド ""%s"" はアダプタ %s で定義されていません。"
"Please declare ""adapter"" and ""method"" nodes first.","""adapter"" と ""method"" ノードを最初に定義してください。"
"Processed records: %s","処理済レコード: %s"
"Profile with the same name already exists.","同じ名前のプロファイルが既に存在しています。"
"Saved successfully: ""%s"" [%d byte(s)].","保存成功: ""%s"" [%d バイト]."
"Sheet 1","シート1"
"Skip undefined row.","未定義の行をスキップする。"
"Starting %s :: %s","開始 %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","フォルダ ""%s"" は存在しないか作成権限がありません。"
"Total records: %s","合計レコード: %s"
"hour","時間"
"hours","時間"
"minute","分"
"minutes","分"
