"# of Uses","件使用中"
"%s tag(s) have been accepted for moderation.","%s 件のタグを承認まちで受付ました。"
"<strong>Tag Name:</strong> %s","<strong>タグ名:</strong> %s"
"Action","アクション"
"Add","追加"
"Add New Tag","新規タグの追加"
"Add Tags","タグの追加"
"Add Your Tags:","タグに追加する:"
"Add tag(s) to product","商品にタグを追加"
"Add to Cart","カートに入れる"
"Add to Wishlist","欲しい物リストに追加"
"All Tags","全てのタグ"
"Approved","承認"
"Are you sure you want to delete this tag?","このタグを削除してもよろしいですか？"
"Are you sure you want to do this?","実行してもよろしいですか？"
"Are you sure?","よろしいですか？"
"Back","戻る"
"Back to Tags List","タグ一覧に戻る"
"Base Popularity","注目度の基準"
"Block Information","ブロック情報"
"CSV","CSVファイル"
"Catalog Product View","カタログ商品ビュー"
"Change status","ステータス変更"
"Click on a tag to view your corresponding products.","タグをクリックして関連する商品を表示します。"
"Country","国"
"Customer My Account My Tags List","マイページタグリスト"
"Customer My Account Tag View","マイページタグ画面"
"Customer Since","顧客登録日時"
"Customers","顧客"
"Customers Submitted this Tag","このタグを投稿した顧客"
"Customers Tagged '%s'","顧客のタグ '%s'"
"Delete","削除"
"Delete Tag","タグの削除"
"Disabled","無効"
"Edit Tag '%s'","%s'タグを編集"
"Email","Eメール"
"First Name","名"
"General Information","総合情報"
"Grid","表"
"ID","ID"
"Info","情報"
"Last Name","姓"
"List","リスト"
"Manage Tags","タグ管理"
"Middle Name","ミドルネーム"
"My Recent Tags","最近のタグ"
"My Tags","タグ"
"Name","名前"
"New Tag","新しいタグ"
"No matches found.","一致するものが見つかりません。"
"Other people marked this product with these tags:","ほかの人はこんなタグをつけています:"
"Pending","処理待ち"
"Pending Tags","承認待ちタグ"
"Popular","人気"
"Popular Tags","人気のタグ"
"Price","価格"
"Product Name","商品名"
"Product SKU","商品SKU"
"Product Tag API","商品タグAPI"
"Product Tags","商品のタグ"
"Products","商品"
"Products Tagged by Administrators","管理者によってタグ付けられた商品"
"Products Tagged by Customers","顧客によってタグ付けられた商品"
"Products Tagged with '%s'","%s'タグ付けされた商品"
"Products tagged with '%s'","%s' タグ付けされた商品"
"Rebuild Tag aggregation data","タグ集計データのインデックス"
"Remove","削除"
"Remove product tag","商品タグを削除"
"Retrieve list of tags by product","商品のタグリストを取得"
"Retrieve product tag info","商品卓情報を取得"
"SKU","商品番号"
"Save Tag","タグの保存"
"Save and Continue Edit","保存して編集を続ける"
"Status","状態"
"Store View","ストアビュー"
"Tag","タグ"
"Tag ""%s"" has already been added to the product.","タグ""%s""は既に商品に関連付けられています。"
"Tag ""%s"" has been added to the product.","タグ""%s""を商品に関連付けました。"
"Tag ""%s"" has been rejected by administrator.","タグ""%s""葉管理者によって拒否されました。"
"Tag Aggregation Data","タグ集計データ"
"Tag Name","タグ名"
"Tagged Products List","タグづけられている商品一覧"
"Tags","タグ"
"Tags List (All Available)","タグリスト(利用可能なすべて)"
"Tags List Before","タグリストの前"
"Tags:","タグ:"
"Telephone","電話番号"
"The tag has been deleted.","タグを削除しました。"
"There are no tags available.","利用可能なタグはありません。"
"Unable to find any products tagged with '%s' in the current store","現在のストアで'%s'とタグ付けされた商品はありません"
"Unable to remove tag. Please, try again later.","タグを削除できません。やり直してください。"
"Unable to save tag(s).","タグを保存できません。"
"Update","更新"
"Update product tag","商品タグを更新"
"Use spaces to separate tags. Use single quotes (') for phrases.","タグを区切る場合は半角スペースを使用してください。単語にはシングルクオート（'）を使用してください。"
"View All Tags","全てのタグを表示"
"View Customers","顧客を表示"
"View Products","商品を表示"
"XML","XML"
"You have not tagged any products yet.","まだタグ付けをした商品はありません。"
"ZIP/Post Code","郵便番号"
"[STORE VIEW]","[ストアビュー]"
